raceName,origen,raceDescription,bonusRules,movementSpeed,lifeSpan,longevity,attributes,sizes,ability1_name,ability1_description,ability2_name,ability2_description,ability3_name,ability3_description,ability4_name,ability4_description,ability5_name,ability5_description,ability6_name,ability6_description,ability7_name,ability7_description,ability8_name,ability8_description,languages,nightVision,relations,culture,subtypes,referenceLink,__file,image,isVariant
Tieflings,Nueve Infiernos,"Los conocidos como 'Sin tierra' no proceden de este plano terrenal. Su verdadero origen está en el infierno, lugar del que sus gentes escaparon hace mucho y poblaron las tierras habitadas en búsqueda de un nuevo lugar al que llamar hogar, pero pocos han conseguido realmente ese objetivo. Debido a ello, muchos no destacan por su poder adquisitivo y se ven tentados por la delincuencia, razón por la que son mal vistos en algunos lugares.",,6,100-120,,Destreza:+2; Carisma:+1,2; 3; 4,Taumaturgia,Obtienes el truco 'Taumaturgia' a nivel 1.,Represión Infernal,"A nivel 3 puedes usar 'Represión Infernal' como conjuro de nivel 2, una vez por descanso largo.",Oscuridad,A nivel 5 puedes usar 'Oscuridad' una vez por descanso largo.,Resistencia Ígnea,El daño de fuego se reduce en un 50%.,,,,,,,,,,False,,,,,tiefling.json,razas/tiefling.png,0
Kobolds,Plano Material,"Los Kobolds son frecuentemente confundidos con dracónidos jóvenes, pero no pueden ser más diferentes los unos de los otros. Estos son más bajos en general, y sus escamas cumplen más una función decorativa y reproductiva que defensiva. Su agilidad y gran habilidad en el habla los hacen contrapartes muy interesantes de sus feroces versiones dracónicas: Un Kobold puede que no sea el mejor luchador, pero sus grandes dotes de actuación y sus movimientos veloces pueden marcar la diferencia en una aventura. Los kóbolds alcanzan la edad adulta a los 6 años y pueden vivir hasta 120 años, pero rara vez lo hacen.",,7,,60-120,Destreza:+2; Constitución:+1,2; 3,Aliento alcohólico,"No sufre los afectos negativos del alcohol pero si se emborrachan. Al beber alcohol, eres capaz de escupir fuego como acción. Este ataque toma diferentes formas dependiendo de la cantidad y calidad del alcohol. 

 -Baja Calidad: Descarga de Fuego (Escala con los Niveles del truco)
-Media Calidad: Bola de Fuego (Aumenta 1d6 a nivel 5,11 y 17)
-Alta Calidad: Tormenta de Fuego 

 Puedes usar este  rasgo una vez por Descanso Corto",Regeneración extrema,"Tus heridas, sean del tipo que sean, se regenerarán al cabo de 1 semana. Heridas mayores se regenerarán cuando el cuerpo pueda operar normalmente. Heridas mortales no se podrán curar (Decapitaciones, Destrucción de órganos vitales que no se traten rapidamente, etc)",Llanto dracónico,"Como acción extra, sueltas un grito a tus enemigos que se encuentran a 2c de ti. Hasta el comienzo de tu próximo turno, tú y tus aliados tenéis ventaja en las tiradas de ataque contra cualquiera de esos enemigos que puedan oírte. Puedes usar este rasgo una cantidad de veces igual a tu bonificación de competencia y recuperarás todos los usos gastados cuando termines un descanso largo.",,,,,,,,,,,,True,,,,,kobold.json,razas/kobold.png,0
Dracónidos,Abeir (Plano Material),"Descendientes de los dragones que alguna vez habitaron las tierras que ahora pisáis, llevan en su sangre herencia de lo que alguna vez fueron. Estos son seres con un comportamiento muy extremista: son grandes defensores de la paz o los mayores señores de la guerra jamás vistos. La neutralidad no está en su sangre, buscarán decantarse por un lado u otro siguiendo sus instintos y lo que su sangre les impulse a hacer. Las gruesas escamas que recubren su piel son duras y resistentes, algunas tanto que son codiciadas para hacer cotas de malla.",,6,90-150,,Fuerza:+2; Constitución:+1,3; 4,Armadura de Dragón,Tu CA base es de 13 + Destreza si no llevas armadura.,Herencia del Padre,"Obtienes una de estas habilidades para usar como acción (Descanso Corto). Estas habilidades aumentan en 1 su dado de daño a los niveles 5, 11 y 17:
- Fuego (Manos Ardientes): 3d6.
- Hielo (Ataque en Cono): 3d6.
- Veneno (Nube Tóxica): 2d6 x 2T.
- Eléctrico (Ola Atronadora): 2d8.
- Ácido (Salpicadura Ácida): 1d8 x 2 Objetivos.",Mordisco Sanador,Puedes atacar a una criatura cercana con un mordisco como acción de ataque. Produces 1d6 de daño + Fuerza y te curas el 100% del daño producido SIEMPRE Y CUANDO se dañe los PG's del enemigo y no PG's Temporales,,,,,,,,,,,,False,,,,,draconido.json,razas/draconido.png,0
Goblins Despiertos,Plano Material,"En la naturaleza, los goblins carecen de una inteligencia realmente desarrollada, no comprenden algo más allá de su tribu y sus costumbres, su idioma y su forma de vida. Sin embargo, en muy escasas ocasiones, algunos goblins nacen con la suficiente inteligencia como para aprender muchas cosas y vivir en una sociedad más compleja. Solo 5 de cada 100 goblins resultan ser 'Sociables'. Además, debido a su curiosa genética, las goblins hembras son muy escasas: solo 2 de cada 100 goblins son hembras, lo que naturalmente convierte a una goblin inteligente en algo tan escaso como curioso.",,7,30-50,,Destreza:+2; Sabiduría:+1,2,Visión en la Oscuridad,Puedes ver en la oscuridad hasta 60 pies como si fuera luz tenue.,Escape de Granuja,Puedes usar 'Destrabarse' o 'Esconderse' como acción adicional.,Golpe en la Espinilla,Añades tu modificador de Competencia a todo el daño que inflijas a una criatura de un tamaño mayor al tuyo.,Atracción por Necesidad,Tienes ventaja en cualquier interacción no agresiva con otros Goblins siempre y cuando seas hembra.,,,,,,,,,,False,,,,,goblin.json,razas/goblin.png,0
Semiorcos,Plano Material,"Temibles en combate, los semiorcos combinan la astucia de los humanos con la brutalidad de los orcos. Su presencia se hace denotar allá donde vayan, su caminar amenazante por naturaleza puede achantar hasta a los más valientes, y siempre que pelees contra uno sabrás que el combate será complicado. Debido a esto, no son muy bien vistos.",,6,60-80,,Fuerza:+2; Destreza:+1,3; 4,Ira Interior,Obtienes una carga de Furia (ver Bárbaro). Se recupera con 1 Descanso Corto.,Grito de Guerra,Como acción adicional puedes envalentonarte a ti mismo o a un aliado para que ataque con más fiereza. Añade tu Modificador de Fuerza al próximo ataque como daño.,Estandarte Viviente,"Si un enemigo ataca a un aliado estando a 1 casilla de ti, puedes emplear tu Reacción para atacar con tu arma.",,,,,,,,,,,,False,,,,,semiorco.json,razas/semiorco.png,0
Githyanki,Plano Astral,"Los Githyanki son famosos guerreros y brillantes soldados que, hace miles de años, escaparon del control de los Ilícidos. Como resultado de los experimentos realizados en ellos, son inmunes al control mental y a magias telepáticas. No hay militares más disciplinados que los Githyanki.",,6,100-200,,Fuerza:+2; Inteligencia:+1,3,Biblioteca del Conocimiento,"Una vez por descanso largo, puedes elegir una habilidad en la que volverte experto (doble competencia) durante 24 horas.",Mano Psiónica,"Obtienes el truco 'Mano de Mago', pero esta es invisible.",Conocimiento bélico,"Con solo unos dias de práctica, aprendes a usar cualquier arma.",,,,,,,,,,,,False,,,,,githyanki.json,razas/githyanki.png,0
Forjados,Eberron (Plano Material),"Los Forjados son creaciones hechas por la mano mortal, potenciados por magia que sus creadores difícilmente pueden comprender. Estos tienen la ventaja de poder ser creados para un propósito, pudiéndose adaptar a sus expectativas. Pero, ¿acaso ese es un buen precio a pagar por la pérdida del disfrute de las cosas más sencillas?","+2 en una característica elegida según el propósito de creación, +1 en Constitución.",Variable según propósito.,"Indefinida, pero requieren mantenimiento regular.",,Constitución:+1; Selección de Propósito:+2,2; 3; 4,Armadura Corporal,"Tu piel cuenta como una armadura ligera con la que eres competente (CA 12 + Modificador de Destreza). Puedes convertir cualquier armadura en tu Armadura Corporal, siempre y cuando seas competente con ella y alguien pueda implantarla. En ese caso, ya no añadirás tu Modificador de Destreza a tu CA.",Finalidad Última,Obtienes habilidades específicas según el propósito para el que fuiste creado.,Propósito: Destreza (Movilidad),"Tu velocidad base pasa a ser 7c, consigues Competencia en Acrobacias y si ya lo eres te vuelves Experto (Mod. de Comp. x2). Además, obtienes la habilidad ""Acrobacia Precisa"" que te permitirá esquivar automaticamente cualquier prueba de Destreza que no requiera de un crítico. Puedes usar este rasgo tantas veces como tu Mod. de Comp.",Propósito: Fuerza (Combate y Carga),"Tu velocidad base pasa a ser 6c y el número que requieres para realizar un crítico con Ataques de Armas se reduce en 1. Una vez por descanso Largo, puedes cambiar el resultado de una tirada de ataque por un 20 natural (Crítico)",Propósito: Constitución (Resistencia),"Tu velocidad base pasa a ser 6c,. Inamovible: no puedes ser empujado ni derribado mediante la fuerza por criaturas de tu mismo tamaño o inferior y se te considera ""Grande"" sin ninguna desventaja por ello. Además, obtienes resistencia al daño Perforante (-50%) y tu CA (Clase de Armadura) puede calcularse con Constitución y no Destreza",Propósito: Inteligencia (Cálculo y Conocimiento),"Tu velocidad base pasa a ser 5c. Como Ritual, puedes usar el Hechizo de ""Identificar"" sin gastar ningún espacio de conjuro. Obtienes PG Temporales equivalentes a tu Mod de Int. cada vez que entras en Concentración por un Conjuro/Truco.",Propósito: Sabiduría (Percepción y Juicio),"Tu velocidad base pasa a ser 6c. Te vuelves experto en cualquier habilidad relacionada a la Sabiduría y tienes ventaja en sus pruebas. Además, obtienes una reserva arcana curativa en tu Núcleo central representada en 5 ""Descargas de Vitalidad"" que se recuperan en un descanso Largo. Cada carga restaura 1'5 PG x Nivel al objetivo y pueden usarse varias a la vez como parte de la misma acción ",Propósito: Carisma (Diplomacia y Persuasión),"Tu velocidad base pasa a ser 6c. Toda tirada de Persuasión, Interpretación o Intimidación que requiera un número inferior a (10 + Mod. Comp. + Mod. Carisma) se supera automaticamente. Además, una vez por descanso Corto obtienes un uso de ""Mirada intimidante"". Si el objetivo a no más de 7c que elijas no supera una Salvada de Carisma (8 + Mod. Comp. + Mod. Carism.) se verá Asustado por ti y recibirá 2d8 de Daño psíquico",,False,,,,,forjado.json,razas/forjado.png,0
Vedalken,Ravnica (Plano Material),"Grandes pensadores y filósofos prácticos han salido de la raza de los Vedalken. Enfocados en encontrar la lógica allá donde miren y en descubrir todos los secretos que las ciencias puedan otorgar, son ávidos de conocimiento y tienen renombre como grandes profesores y estudiosos reconocidos.",Puedes invertir estos valores (+1 INT y +2 WIS),6,100-150,,Inteligencia:+2; Sabiduría:+1,2; 3; 4,Concentración Arcana,Puedes estar concentrado hasta en 2 conjuros que requieran concentración al mismo tiempo. Debes realizar una tirada de salvación de Constitución por cada uno de los conjuros activos.,Versado en los Estudios,Tu puntuación máxima para Inteligencia y Sabiduría aumenta de 20 a 24.,,,,,,,,,,,,,,False,,,,,vedalken.json,razas/vedalken.png,0
Slimes Despiertos,Plano Material,"Algunos Slimes consiguen desarrollar inteligencia tras la ingesta prolongada de materias orgánicas relacionadas con el sistema nervioso. Por desgracia, a cambio de una conciencia más avanzada, han tenido que abandonar sus poderosos ataques de ácido y disolución de materias. Aun así, son capaces de digerir materia orgánica a una velocidad considerable.",,6,"Indefinida, mientras consuma materia orgánica regularmente.",,Constitución:+1; Sabiduría:+2,2; 3; 4,Cuerpo de Slime,"Puedes escurrirte entre cavidades muy pequeñas, pero tardarás en recomponerte. Además, puedes alimentarte de cualquier tipo de materia orgánica.",Divisón,"Como Acción, puedes dividirte en dos individuos iguales a ti pero reduciendo a la mitad la vida máxima, tamaño y peso. Si uno de los dos Cae a 0 PG's, el que siga en pié podrá reabsorber a su otra mitad pero no recuperará los PG's, solo los PG's máximos. Si la copia es destruída totalmente haciéndola irrecuperable, el Slime tardará 2d6 días en recuperarse completamente",Pegajoso,"Haciendo ventosa, puedes trepar por muros verticales.",,,,,,,,,,,,False,,,,,slime.json,razas/slime.png,0
Pixies,Feywild,"Las pixies, aunque adorables, son extremadamente peligrosas. Ligadas a la naturaleza misma y a los dioses de esta, su afinidad con la magia es tan natural como respirar o ingerir alimentos para un humano. Las Pixies suelen tener carácteres explosivos, experimentan las emociones de manera muy ferviente y personal. No hay nada más intenso que el odio y el amor de una Pixie.",,6,,,Sabiduría:+2; Carisma:+2,1,Volar,Tu movimiento base se representa volando.,Naturalmente competente,Duplicas tu Bonus por Competencia a tus tiradas de ataque o tus Salvadas de hechizos.,Reservas arcanas,Podrás recuperar una cantidad de Niveles de Espacios de Conjuro equivalentes a la mitad de tu Nivel. Ej: Nivel 6 → 3 Niveles de Espacios de Conjuro.,,,,,,,,,,,,False,,,,,pixie.json,razas/pixie.png,0
Súcubo / Íncubo,Planos Inferiores,"Los súcubos/íncubos son la raza más común en prostíbulos. Son seres diseñados para el placer y la procreación, con cuerpos adaptados para maximizar el éxtasis. Solo pueden quedar embarazados o embarazar una vez se han enamorado y marcado a una pareja con total confianza, en un acto puro de amor y entrega. Este vínculo otorga poder sobre su pareja y refuerza la conexión entre ambos.",,7,Indefinida,,Destreza:+1; Carisma:+2,2; 3; 4,Aroma de Lujuria,"De tu cola surge un suave y dulce perfume que encanta a la víctima, atacando su lujuria para conseguir lo que quieras. El objetivo queda hechizado por una hora hasta recibir daño. Debe superar una tirada de salvación de Sabiduría (DC = 8 + Modificador de Competencia + Modificador de Carisma). Puedes usar este rasgo tantas veces como tu Modificador de Carisma.",Revolcón,"Besa a la víctima para intoxicarla con tu lujuria, prácticamente obligándola a acostarse contigo. Durante este tiempo, ambos personajes quedan fuera de combate hasta que alguien la golpee. Te curas 1d6 puntos de golpe por ronda. Si consigues un crítico, dejas al objetivo desmayado y te curas 3 puntos de golpe por nivel. Si el enemigo está afectado por 'Aroma de Lujuria', tiene desventaja en la salvación de Sabiduría y te curas 1d10 por ronda. Requiere un descanso largo para usarlo nuevamente.",,,,,,,,,,,,,,False,,,,,sucubo-incubo.json,razas/sucubo-incubo.png,0
Druegar,Infraoscuridad (Plano Material),"Los Druegar son enanos oscuros que habitan en las profundidades del Underdark. Son conocidos por su fuerza física y su astucia, así como por sus habilidades mágicas y su capacidad para modificar su tamaño y volverse invisibles temporalmente.",,6,400-500,,Fuerza:+2; Inteligencia:+1,3,Modificación Corporal,"Una vez por descanso corto, puedes reducir o aumentar tu tamaño. Al reducir tu tamaño, obtienes ventaja en tiradas de Destreza. Al aumentar tu tamaño, obtienes ventaja en tiradas de Fuerza.",Invisibilidad,"Una vez por descanso corto, puedes volverte invisible durante 10 minutos. La invisibilidad se cancela por las mismas razones que una invisibilidad normal.",Visión en la Oscuridad,Puedes ver en la oscuridad hasta 60 pies como si fuera luz tenue.,,,,,,,,,,,,False,,,,,druegar.json,razas/druegar.png,0
Firbolgs,Plano Material,"Los Firbolgs son humanoides vinculados profundamente con la naturaleza. Criados entre animales y plantas, poseen una afinidad natural para comunicarse con el entorno y un vasto conocimiento del mundo natural que los rodea.",,6,110-250,,Constitución:+1; Sabiduría:+2,2; 3; 4,Nacido entre Animales,"Eres capaz de hablarle a los animales y que estos te entiendan, aunque tú no los entiendes a ellos.",Nacido entre Plantas,Eres capaz de hablar con las plantas y que estas te puedan responder.,Conocimiento Arbóreo,Tienes ventaja en tiradas de Naturaleza (Sabiduría) y Trato con Animales (Sabiduría) para identificar o conocer datos sobre plantas y bestias.,,,,,,,,,,,,False,,,,,firbolg.json,razas/firbolg.png,0
Sonares,Plano Material (origen desconocido),Los Sónares son seres mágicos cuya existencia depende de ser escuchados. Su naturaleza melódica y su vínculo con la música les otorga habilidades únicas para reperesentarse a si mismos y sus emociones.,,6,Inmortales mientras alguien pueda oírles.,,Destreza:+1; Carisma:+2,2; 3; 4,Inspiración,"Al realizar un descanso corto o largo, puedes tocar una melodía relajante. Todo aquel que la escuche gana un dado de Inspiración que aumenta con tu nivel: Nivel 1-5: 1d6, Nivel 6-11: 1d8, Nivel 12-16: 1d10, Nivel 17-20: 1d12. Este dado puede añadirse a cualquier tirada de salvación, característica o ataque. Solo se puede tener una inspiración de este tipo activa al mismo tiempo, pero no interfiere con las inspiraciones bárdicas.",Serenata,"Puedes realizar un canto dirigido a un objetivo para efectuar una de las siguientes acciones:
- Dormir (Salvación de Sabiduría).
- Encantar Animal (Salvación de Sabiduría).
- Estabilizar (Un aliado supera las salvaciones de muerte pero queda inmóvil hasta recibir ayuda).
Puedes usar este rasgo tantas veces como tu modificador de Competencia. Se recupera tras descansos cortos.",,,,,,,,,,,,,,False,,,,,sonar.json,razas/sonar.png,0
